iter	Passed	Remaining
0	0	927
1	1	839
2	2	803
3	3	766
4	3	749
5	4	742
6	5	728
7	5	709
8	6	693
9	7	696
10	7	694
11	8	697
12	9	693
13	10	774
14	11	780
15	12	774
16	13	768
17	14	765
18	14	762
19	15	763
20	16	757
21	16	750
22	17	743
23	18	739
24	18	733
25	19	729
26	20	723
27	20	722
28	21	716
29	22	711
30	22	713
31	23	710
32	24	708
33	25	719
34	26	726
35	27	726
36	27	724
37	28	723
38	29	728
39	30	726
40	30	725
41	31	722
42	32	718
43	32	716
44	33	714
45	34	713
46	35	710
47	35	708
48	36	705
49	37	705
50	37	703
51	38	701
52	39	698
53	40	712
54	50	861
55	50	857
56	51	852
57	52	847
58	52	842
59	53	837
60	54	832
61	54	827
62	55	823
63	56	827
64	57	826
65	58	829
66	59	826
67	60	823
68	60	820
69	61	817
70	62	815
71	62	811
72	63	807
73	64	804
74	64	799
75	65	795
76	65	790
77	66	787
78	67	783
79	67	780
80	68	775
81	68	771
82	69	764
83	69	760
84	70	762
85	71	762
86	72	761
87	73	758
88	73	756
89	74	753
90	75	749
91	75	746
92	76	742
93	76	739
94	77	735
95	77	732
96	78	729
97	79	727
98	79	724
99	80	721
100	80	718
101	81	716
102	82	714
103	82	711
104	83	708
105	83	705
106	84	702
107	84	699
108	85	696
109	86	700
110	87	700
111	88	700
112	89	700
113	89	699
114	90	698
115	91	696
116	91	693
117	92	691
118	93	688
119	93	686
120	94	683
121	94	680
122	95	678
123	95	677
124	96	675
125	96	672
126	97	669
127	98	667
128	98	665
129	99	663
130	99	660
131	100	658
132	101	659
133	102	659
134	103	660
135	103	659
136	104	657
137	105	656
138	105	656
139	106	655
140	107	653
141	107	650
142	108	648
143	108	646
144	109	645
145	110	643
146	110	642
147	111	640
148	111	638
149	112	636
150	112	634
151	113	632
152	113	630
153	114	628
154	115	627
155	116	629
156	117	629
157	118	630
158	119	629
159	119	628
160	120	626
161	120	625
162	121	623
163	122	622
164	122	621
165	123	619
166	123	618
167	124	616
168	125	615
169	125	613
170	126	612
171	126	610
172	127	608
173	127	607
174	128	605
175	128	603
176	129	602
177	131	607
178	132	607
179	133	606
180	133	605
181	134	604
182	135	603
183	135	602
184	136	601
185	136	599
186	137	598
187	138	597
188	138	596
189	139	594
190	140	593
191	140	591
192	141	590
193	141	588
194	142	587
195	142	585
196	143	584
197	143	582
198	145	584
199	146	586
200	147	585
201	148	584
202	148	584
203	150	586
204	151	585
205	151	584
206	152	583
207	152	582
208	153	580
209	153	579
210	154	577
211	155	576
212	155	574
213	156	573
214	156	572
215	157	570
216	157	569
217	158	568
218	159	567
219	160	569
220	161	568
221	162	568
222	162	566
223	163	565
224	163	564
225	164	563
226	164	561
227	165	560
228	166	559
229	166	557
230	167	556
231	167	555
232	168	554
233	168	552
234	169	551
235	170	550
236	170	549
237	171	547
238	171	546
239	172	545
240	172	543
241	173	542
242	174	543
243	175	544
244	176	544
245	177	543
246	177	542
247	178	540
248	178	539
249	179	538
250	179	537
251	180	535
252	181	534
253	181	533
254	182	532
255	182	530
256	183	529
257	183	528
258	184	527
259	184	526
260	185	525
261	186	524
262	186	522
263	187	521
264	187	520
265	188	519
266	189	520
267	190	520
268	191	519
269	191	518
270	192	517
271	192	516
272	193	515
273	193	513
274	194	512
275	195	511
276	195	510
277	196	509
278	196	508
279	197	507
280	197	506
281	198	505
282	198	503
283	199	502
284	199	501
285	200	500
286	201	499
287	201	498
288	202	498
289	203	499
290	204	498
291	205	498
292	206	497
293	206	496
294	207	496
295	208	495
296	208	494
297	209	493
298	210	492
299	210	491
300	211	490
301	211	489
302	212	488
303	212	487
304	213	486
305	213	485
306	214	484
307	215	483
308	215	482
309	216	481
310	216	480
311	217	479
312	218	478
313	218	478
314	219	478
315	220	477
316	221	476
317	221	475
318	222	474
319	223	474
320	223	473
321	224	472
322	224	471
323	225	470
324	226	469
325	226	468
326	227	467
327	227	466
328	228	465
329	228	464
330	229	464
331	230	463
332	230	462
333	231	461
334	232	460
335	233	460
336	234	460
337	234	459
338	235	459
339	236	458
340	236	457
341	237	457
342	238	456
343	238	455
344	239	454
345	239	453
346	240	452
347	240	451
348	241	450
349	241	449
350	242	448
351	243	447
352	243	446
353	244	445
354	244	444
355	245	444
356	246	443
357	246	442
358	248	443
359	249	443
360	249	442
361	250	441
362	251	440
363	251	439
364	252	438
365	252	438
366	253	437
367	253	436
368	254	435
369	255	434
370	255	433
371	256	432
372	256	431
373	257	430
374	258	430
375	258	429
376	259	428
377	259	427
378	260	426
379	260	425
380	261	424
381	262	424
382	263	424
383	264	423
384	264	423
385	265	422
386	266	422
387	267	421
388	267	420
389	268	419
390	268	418
391	269	417
392	270	417
393	270	416
394	271	415
395	271	414
396	272	413
397	273	413
398	273	412
399	274	411
400	274	410
401	275	409
402	277	410
403	279	411
404	279	410
405	280	410
406	280	409
407	281	408
408	282	407
409	283	407
410	283	406
411	284	406
412	285	405
413	285	404
414	286	403
415	287	403
416	287	402
417	288	401
418	288	400
419	289	399
420	290	399
421	290	398
422	293	399
423	294	399
424	294	398
425	295	398
426	295	397
427	296	396
428	297	395
429	297	395
430	298	394
431	299	393
432	299	392
433	300	391
434	301	391
435	301	390
436	302	389
437	302	388
438	303	387
439	304	387
440	304	386
441	305	385
442	307	386
443	308	386
444	309	385
445	309	385
446	310	384
447	311	383
448	311	382
449	312	381
450	313	381
451	313	380
452	314	379
453	314	378
454	315	377
455	316	377
456	316	376
457	317	375
458	318	374
459	318	374
460	319	373
461	319	372
462	320	371
463	322	372
464	322	371
465	324	371
466	325	370
467	326	370
468	326	370
469	327	369
470	328	368
471	328	367
472	329	367
473	330	366
474	331	366
475	331	365
476	332	364
477	334	364
478	336	366
479	337	365
480	338	365
481	339	364
482	340	363
483	340	363
484	341	362
485	342	361
486	342	361
487	343	360
488	344	359
489	345	359
490	345	358
491	347	358
492	348	358
493	349	357
494	351	358
495	352	357
496	353	357
497	354	356
498	354	356
499	355	355
500	355	354
501	356	353
502	357	352
503	357	352
504	358	351
505	359	351
506	360	350
507	362	350
508	363	350
509	364	349
510	366	350
511	367	350
512	368	349
513	368	348
514	369	348
515	370	347
516	370	346
517	371	345
518	372	345
519	373	344
520	374	344
521	375	343
522	376	343
523	378	343
524	379	343
525	381	343
526	381	342
527	383	342
528	384	342
529	385	341
530	386	340
531	386	340
532	387	339
533	388	338
534	388	337
535	389	337
536	390	336
537	390	335
538	391	335
539	393	335
540	396	336
541	398	336
542	398	335
543	399	335
544	401	334
545	403	335
546	403	334
547	405	334
548	406	333
549	407	333
550	407	332
551	408	331
552	411	332
553	413	332
554	415	333
555	416	332
556	416	331
557	417	330
558	417	329
559	418	328
560	419	328
561	419	327
562	420	326
563	420	325
564	421	324
565	422	323
566	422	322
567	423	321
568	423	320
569	426	322
570	428	322
571	429	321
572	430	320
573	431	319
574	431	319
575	432	318
576	432	317
577	433	316
578	433	315
579	434	314
580	435	313
581	435	312
582	436	311
583	436	311
584	437	310
585	437	309
586	438	308
587	439	308
588	441	307
589	442	307
590	443	306
591	444	306
592	445	305
593	445	304
594	446	303
595	447	303
596	447	302
597	448	301
598	449	300
